period,feature,psi,ks,band,rows_reference,rows_current,low_confidence,missing_reference,missing_current,missing_change
2018-07,TransactionAmt,0.008586795406879986,0.020500000000000018,stable,472432,78430,False,0.0,0.0,0.0
2018-07,card1,0.0010943196613470722,0.012300000000000033,stable,472432,78430,False,0.0,0.0,0.0
2018-07,card2,0.007125356588217574,0.014820000000000055,stable,465407,76911,False,0.014869864869441527,0.019367588932806323,0.004497724063364796
2018-07,card3,0.01009127282945484,0.026540000000000008,stable,471609,77734,False,0.0017420496494733634,0.00887415529771771,0.007132105648244347
2018-07,card5,0.006423865414920904,0.025400000000000034,stable,469279,77565,False,0.006673976360619094,0.011028943006502614,0.0043549666458835195
2018-07,addr1,0.000660864744745521,0.006279999999999952,stable,418671,70589,False,0.11379627120940157,0.09997449955374219,-0.013821771655659384
2018-07,addr2,0.010809861578797767,0.00748,stable,418671,70589,False,0.11379627120940157,0.09997449955374219,-0.013821771655659384
2018-07,dist1,0.010847012680793881,0.0410041454864154,stable,185275,36512,False,0.6078271581941952,0.5344638531174296,-0.07336330507676558
2018-07,dist2,0.07796959886616853,0.09072700582534587,stable,32100,3752,True,0.9320537135503099,0.9521611628203493,0.02010744927003949
2018-07,C1,0.013873807821176701,0.05309999999999998,stable,472432,78430,False,0.0,0.0,0.0
2018-07,C2,0.014875044414070011,0.05794000000000005,stable,472432,78430,False,0.0,0.0,0.0
2018-07,C3,,0.0046800000000000175,unknown,472432,78430,False,0.0,0.0,0.0
2018-07,C4,0.02059166360243389,0.05893999999999999,stable,472432,78430,False,0.0,0.0,0.0
2018-07,C5,0.003249667497466517,0.027680000000000038,stable,472432,78430,False,0.0,0.0,0.0
2018-07,C6,0.011338814356663313,0.042140000000000066,stable,472432,78430,False,0.0,0.0,0.0
2018-07,C7,0.0029434067467948,0.01746000000000003,stable,472432,78430,False,0.0,0.0,0.0
2018-07,C8,0.028489997180760503,0.06874000000000002,stable,472432,78430,False,0.0,0.0,0.0
2018-07,C9,0.08024378441647272,0.12038000000000001,stable,472432,78430,False,0.0,0.0,0.0
2018-07,C10,0.027995996035579163,0.06662000000000001,stable,472432,78430,False,0.0,0.0,0.0
2018-07,C11,0.01846157162305105,0.02398,stable,472432,78430,False,0.0,0.0,0.0
