period,rows,frauds,fraud_rate,pr_auc,pr_auc_lift,roc_auc,is_full_week
2018-04-16/2018-04-22,7029,296,0.042111253378859015,0.7058934142594248,16.762583813613162,0.9458059537333262,False
2018-04-23/2018-04-29,18652,555,0.02975552219601115,0.5931265771706513,19.933327779075654,0.9293854389284572,True
2018-04-30/2018-05-06,22071,681,0.030854968057632187,0.6819159621723467,22.10068605155046,0.9386472743449223,True
2018-05-07/2018-05-13,20726,650,0.03136157483354241,0.568909589597639,18.140338698462564,0.9137480650451362,True
2018-05-14/2018-05-20,20332,717,0.035264607515246904,0.5414428685845354,15.353718834115442,0.9160273905882093,True
2018-05-21/2018-05-27,19010,760,0.039978958442924775,0.6497451376479924,16.252177719326756,0.931820836337419,True
2018-05-28/2018-06-03,10288,405,0.03936625194401244,0.5460688473402923,13.871497040585004,0.9226535652317297,False
