review_rate,n_reviewed,threshold,frauds_caught,recall,precision,total_cost,savings
0.005,591,0.9565320223843415,559,0.1375492125984252,0.9458544839255499,654120.5551999938,57413.78079999995
0.01,1181,0.8343278929701453,1081,0.265994094488189,0.9153259949195597,597033.4667999937,114500.86920000007
0.02,2362,0.4214158272382961,1812,0.44586614173228345,0.7671464860287892,509521.040599994,202013.2953999997
0.05,5905,0.09625746514282672,2613,0.6429625984251969,0.442506350550381,372172.5934999935,339361.7425000002
