fold,train_rows,valid_rows,valid_start,valid_end,pr_auc,pr_auc_baseline,pr_auc_lift,roc_auc
1,118108,118108,2017-12-26,2018-02-02,0.5851459826528317,0.04006502523114438,14.604907379366153,0.8751756958764546
2,236216,118108,2018-02-02,2018-03-11,0.5732883453523889,0.03750804348562333,15.284410811033847,0.8930472598993227
3,354324,118108,2018-03-11,2018-04-20,0.6248661730879677,0.03904053916754157,16.0055723207707,0.9215166324916901
4,472432,118108,2018-04-20,2018-05-31,0.5719761808775239,0.034409184813899145,16.622776272412054,0.912588227879031
