feature,mean_abs_shap
R_email_provider_code,0.002496116591074448
V169,0.0024754331962540434
V234,0.0023745055540773884
V210,0.0023407246607150783
V202,0.00232989813859584
id_30_code,0.002206424226829333
V142,0.0022022928900573683
V335,0.0021806223464848986
R_email_suffix_code,0.002162799947039606
V162,0.0021139934204082874
M8_code,0.0021087506853178515
V123,0.0020925046528780205
id_34_code,0.0020192295597486315
V284,0.001959055431564194
id_07,0.001884186072614191
id_09,0.0018761955516383986
M2_code,0.0018633072356944466
V184,0.0017245261560199583
V323,0.0017075777222232
V108,0.001701462908139304
V220,0.0016828537019366256
V265,0.0016800702206081724
V173,0.0016180205332551087
V238,0.0015762546733351659
V146,0.0015291787668421381
V96,0.00152809916488902
id_16_code,0.00141819940491866
V26,0.0014077133537774545
id_11,0.0013872875281687035
V80,0.0013421866220881592
id_36_code,0.0013218343549673463
V260,0.0013097849918810626
V298,0.0012903248279869212
V175,0.0012637080687403325
V105,0.0012574010064616934
V103,0.0012547831121931673
V289,0.0012345341296968093
addr2,0.0012151704381180516
V100,0.001196854944063135
V299,0.0011591102050269178
id_37_code,0.0011544220877300734
V95,0.001125726419658206
V303,0.0009197488660308965
V115,0.000899461845202117
V219,0.0008813995175480199
V183,0.0008675996149802485
V168,0.0007494923339045625
id_25,0.0007471114604568186
V3,0.0007427035491429965
V8,0.0007057476445583769
V106,0.0006678820361052082
V324,0.0006671396782735204
C7,0.0006473843347069641
id_04,0.0006171434495421225
V211,0.0006155829118401738
V17,0.0006125019821367631
V118,0.0005418884232076091
V109,0.0005203137751554017
V237,0.00050586542835059
id_10,0.0004707411377801071
id_26,0.0004364044173041781
id_21,0.0003928829530346321
id_08,0.0003779303779414003
V197,0.00036540233373159143
V328,0.00016851701785775298
id_24,0.0001260464653984387
V252,0.00010889326544404193
V111,9.101530879829476e-05
V114,8.797705007440326e-05
id_23_code,3.858423543494785e-05
V117,2.5338078067502546e-05
id_22,2.3854330711585845e-05
id_28_code,6.469144783814361e-06
V27,0.0
V14,0.0
V121,0.0
V120,0.0
V240,0.0
has_identity,0.0
V65,0.0
V68,0.0
V198,0.0
V325,0.0
V138,0.0
V89,0.0
V1,0.0
V41,0.0
V88,0.0
id_29_code,0.0
M1_code,0.0
id_12_code,0.0
id_27_code,0.0
id_35_code,0.0
