feature,mean_abs_shap
C13,0.2898316494214193
C14,0.13333092305051825
TransactionAmt_ratio_to_addr1_mean,0.12075503628800523
C1,0.11746897918139527
V70,0.11473403359645422
D15_std_by_uid,0.10702320220699339
D15_mean_by_uid,0.10417713895298182
uid_freq,0.10305224592652036
card1_freq,0.09954248651579066
TransactionAmt_mean_by_card1,0.09682597045807967
card6_code,0.09608772025019961
V91,0.09233958514044042
M5_code,0.09100530315377789
TransactionAmt_mean_by_uid,0.08844616350206713
C11,0.08559625319707581
D1,0.08500638046041917
D2,0.08173924081258288
dist1,0.07478879780638187
card2_freq,0.07419675243102171
C2,0.0741049276649823
P_emaildomain_freq,0.07215339301040916
M4_code,0.06948664459467788
D15_mean_by_card1,0.06500922455010022
TransactionAmt_std_by_uid,0.059252553011492966
M3_code,0.056901462961456505
D4,0.05662006015075642
TransactionAmt_ratio_to_uid_mean,0.05488141619905353
M6_code,0.054005422204495994
C5,0.0536317687564762
card1_addr1_freq,0.05329814736345045
card2,0.052754792552861474
hour,0.05083957313039597
amount_cents,0.05072238409648917
D15_std_by_card1,0.050454156647296924
D3,0.049755144180541666
card1,0.04878755114105926
addr1,0.04862403036135313
card1_addr1_code,0.04739331767814007
C6,0.0470044415832741
V318,0.04694251114424589
V48,0.046385231406298244
C8,0.04549770697990677
TransactionAmt,0.0454475347346834
V310,0.045164583969708044
TransactionAmt_std_by_card1,0.04386224538340548
TransactionAmt_std_by_card1_addr1,0.04244777101876604
TransactionAmt_mean_by_card1_addr1,0.03949217907265517
C9,0.03741794491726477
TransactionAmt_std_by_addr1,0.034081319601172236
V246,0.033906751324672746
D11,0.03377568333537155
R_emaildomain_code,0.03361740063674581
id_17,0.03033003039699571
D10,0.03020335717209583
id_02,0.03005644755564702
C4,0.029043123604705238
R_emaildomain_freq,0.028312217954777633
D14,0.027337934589948026
D15,0.02676462877525122
addr1_freq,0.02647787703135208
V283,0.026366665711700772
device_brand_code,0.02625572090539493
id_31_freq,0.025981436789692954
P_email_suffix_code,0.025070984764526138
card3,0.024786626432459206
D5,0.02414957925986341
card5,0.023665327402015258
P_emaildomain_code,0.023540379132966107
V62,0.023496270081974503
V82,0.02333762461976067
TransactionAmt_ratio_to_card1_addr1_mean,0.02307018866681979
V281,0.02304908845620582
V308,0.022835243036436095
id_20,0.022109981310859703
D8,0.021469365214340216
TransactionAmt_mean_by_addr1,0.020870535244415258
V314,0.020855134599490135
V160,0.020653321031040055
match_true_count,0.020353025371607655
D15_ratio_to_card1_mean,0.020014350118228413
TransactionAmt_ratio_to_card1_mean,0.01971492357112834
ProductCD_code,0.01965637039767171
V54,0.01961686446721462
card3_freq,0.019528602242980406
V131,0.019384297547531633
P_email_provider_freq,0.018826515253850307
D13,0.0188137139788895
D15_ratio_to_uid_mean,0.018582697137437425
V189,0.01802187520158661
V285,0.017988269066981318
email_domains_match,0.017636205359858017
V30,0.017122744978103246
V67,0.016983383073133115
id_01,0.016776466113231213
M9_code,0.01624247781626011
card5_freq,0.015607868228906276
C10,0.015112574104978549
V312,0.014261762367744433
C12,0.013665939432400253
day_of_week,0.013321435378133005
browser_family_freq,0.01281759578849124
id_13,0.012792256181116058
id_06,0.012411531686854504
amount_log,0.012294033896636072
V47,0.011491562891436382
DeviceInfo_freq,0.011103358727010047
D12,0.011100245611359192
C3,0.010950858353443832
V86,0.010946194133028638
V56,0.010681241890150147
id_05,0.010381940163130965
id_19,0.010009595148234435
V134,0.009991014869900899
V320,0.00992733066801269
id_18,0.009906902089583095
DeviceInfo_code,0.009681248421301473
R_email_provider_freq,0.009494726549462212
V44,0.009299373014065077
DeviceType_code,0.009261581135147232
V128,0.009046768684792025
V307,0.009001782661602235
V52,0.00894362259187867
P_email_provider_code,0.008822338910902745
V286,0.008669343413184058
V2,0.008559287445635867
screen_area,0.008237552587860136
id_14,0.008216229370214089
device_brand_freq,0.00809441920436922
id_31_code,0.007969121222646477
V166,0.007879901472023564
V76,0.007620987760444932
V293,0.007260246387437488
V127,0.007106073162407631
dist2,0.007088639072999953
V10,0.006916807762461841
V130,0.00654627336950921
id_30_freq,0.006485926963337375
V156,0.006475704968445012
V13,0.006378153176023973
V316,0.00621551950417224
V136,0.006188521141217021
V264,0.006181929430092573
V139,0.005970642904274771
V250,0.005961560940468787
V20,0.005955507756832946
id_38_code,0.005535930971966069
match_missing_count,0.005504149972801659
card4_code,0.005491826570850926
V262,0.005356315059142688
browser_family_code,0.00533288521769744
V180,0.005303861949649653
screen_height,0.0050796684930324715
V23,0.005071589104143933
V223,0.0050497369402650386
M7_code,0.0048720416326907415
V221,0.0046126178119151665
V98,0.004579877124071519
V40,0.004557194233101214
V296,0.004549069657821439
V37,0.004483943037124788
V263,0.0044668732161435
id_33_freq,0.004450849289260229
addr2_freq,0.004236145204783836
V7,0.004186695531068785
V271,0.004186240081856972
V282,0.004173533762929137
V36,0.004053634327889512
amount_is_round,0.0040242412905258556
V5,0.004019467634467345
D6,0.003951220408933643
V171,0.0037994523988181144
V297,0.0037129722500472504
V300,0.0036902753753010075
V332,0.003600712209961419
D9,0.003566976800344832
id_32,0.003476747986264194
V124,0.0034087050741120413
V329,0.0033589554843149742
id_03,0.0032987335480500818
V203,0.0031905991364713374
V77,0.0031310520095443667
D7,0.0030533268643279216
id_33_code,0.002928485987100753
V273,0.002895703996686822
screen_width,0.0028113972145856233
V209,0.00280521792744621
V268,0.002694417127079858
V60,0.002655403722208245
id_15_code,0.0026277864733736775
V215,0.0025484909856680316
V205,0.002515459670259095
