n_flagged,review_rate,threshold,frauds_caught,frauds_missed,false_alarms,recall,precision,cost_missed,cost_caught,cost_false_alarm,total_cost,savings
826,0.006993599078809225,0.9386984706096901,749.0,3315.0,77.0,0.1843011811023622,0.9067796610169492,623071.7389999923,11842.259699999984,385.0,635298.9986999922,76235.3372999999
885,0.0074931418701527416,0.9225525727884039,799.0,3265.0,86.0,0.19660433070866143,0.9028248587570622,615985.9569999923,12750.837899999979,430.0,629166.7948999922,82367.54109999991
944,0.007992684661496257,0.902859395765547,849.0,3215.0,95.0,0.20890748031496062,0.899364406779661,609999.8539999923,13549.448199999984,475.0,624024.3021999922,87510.03379999986
1003,0.008492227452839774,0.8791393845488108,899.0,3165.0,104.0,0.22121062992125984,0.8963110667996012,600729.4169999922,14676.491899999986,520.0,615925.9088999922,95608.42709999986
1062,0.00899177024418329,0.857250541525298,952.0,3112.0,110.0,0.234251968503937,0.896421845574388,589757.2079999922,15985.712799999987,550.0,606292.9207999922,105241.41519999993
1121,0.009491313035526807,0.8363482967882896,1001.0,3063.0,120.0,0.24630905511811024,0.8929527207850134,583929.3979999921,16764.493799999986,600.0,601293.8917999921,110240.44420000003
1180,0.009990855826870322,0.8147841647591221,1051.0,3013.0,129.0,0.25861220472440943,0.8906779661016949,575188.8739999922,17838.54619999999,645.0,593672.4201999921,117861.91579999996
1239,0.010490398618213837,0.789887440366333,1098.0,2966.0,141.0,0.27017716535433073,0.8861985472154964,567457.5089999922,18799.68269999999,705.0,586962.1916999922,124572.14429999993
1298,0.010989941409557355,0.7628797744870827,1144.0,2920.0,154.0,0.281496062992126,0.8813559322033898,559719.7399999921,19757.459599999995,770.0,580247.199599992,131287.13640000008
1357,0.01148948420090087,0.7346285387829649,1186.0,2878.0,171.0,0.2918307086614173,0.8739867354458364,553391.7129999922,20558.262299999988,855.0,574804.9752999921,136729.36069999996
1416,0.011989026992244387,0.7062471842266891,1225.0,2839.0,191.0,0.30142716535433073,0.8651129943502824,548311.4359999921,21222.289999999994,955.0,570488.7259999921,141045.61
1475,0.012488569783587903,0.6801196427963642,1268.0,2796.0,207.0,0.31200787401574803,0.8596610169491525,541712.1949999921,22054.21409999999,1035.0,564801.4090999921,146732.92689999996
1534,0.012988112574931418,0.6491075648467737,1309.0,2755.0,225.0,0.32209645669291337,0.8533246414602347,536398.0519999922,22749.62839999999,1125.0,560272.6803999923,151261.65559999982
1593,0.013487655366274935,0.6186213702763368,1343.0,2721.0,250.0,0.3304625984251969,0.8430634023854363,531816.9649999922,23343.737099999984,1250.0,556410.7020999922,155123.6338999999
1652,0.01398719815761845,0.5956478152678335,1388.0,2676.0,264.0,0.34153543307086615,0.8401937046004843,525717.6869999924,24133.66489999997,1320.0,551171.3518999923,160362.98409999977
1711,0.014486740948961968,0.5738897878728129,1429.0,2635.0,282.0,0.3516240157480315,0.8351841028638223,519786.2849999924,24890.805099999965,1410.0,546087.0900999923,165447.24589999975
1770,0.014986283740305483,0.5493591018091946,1463.0,2601.0,307.0,0.359990157480315,0.8265536723163842,512775.43399999244,25727.890199999965,1535.0,540038.3241999925,171496.01179999963
1829,0.015485826531648999,0.5294238237121378,1498.0,2566.0,331.0,0.3686023622047244,0.8190267905959541,508441.0249999924,26301.331099999967,1655.0,536397.3560999924,175136.9798999997
1888,0.015985369322992514,0.5058318487224915,1531.0,2533.0,357.0,0.3767224409448819,0.8109110169491526,502307.40599999245,27046.69299999996,1785.0,531139.0989999924,180395.23699999973
1947,0.01648491211433603,0.48429648087639965,1558.0,2506.0,389.0,0.38336614173228345,0.8002054442732409,497123.77999999246,27673.055599999956,1945.0,526741.8355999924,184792.50039999967
2006,0.016984454905679548,0.46201038478370526,1593.0,2471.0,413.0,0.39197834645669294,0.7941176470588235,486761.9299999925,28849.240599999954,2065.0,517676.17059999245,193858.16539999965
2065,0.017483997697023062,0.4399581903790365,1625.0,2439.0,440.0,0.3998523622047244,0.7869249394673123,480687.9329999925,29584.640299999952,2200.0,512472.5732999925,199061.7626999996
2124,0.01798354048836658,0.4251756093392639,1655.0,2409.0,469.0,0.40723425196850394,0.7791902071563088,475787.47699999256,30194.68589999995,2345.0,508327.1628999925,203207.1730999996
