model,best_round,fit_minutes,pr_auc,pr_auc_baseline,pr_auc_lift,roc_auc,recall_at_0p500pct,precision_at_0p500pct,recall_at_1p000pct,precision_at_1p000pct,recall_at_2p000pct,precision_at_2p000pct,recall_at_5p000pct,precision_at_5p000pct,best_savings_unconstrained,best_review_rate_unconstrained,best_savings_within_capacity,best_threshold_within_capacity,best_recall_within_capacity
lightgbm,617.0,1.15,0.6068151060830318,0.034409184813899145,17.63526539105677,0.9275088249886698,0.1375492125984252,0.9458544839255499,0.265994094488189,0.9153259949195597,0.44586614173228345,0.7671464860287892,0.6429625984251969,0.442506350550381,444995.81210000097,0.18864937176143867,202033.2953999997,0.4222493056998478,0.44586614173228345
xgboost,1193.0,7.84,0.5990727981505326,0.034409184813899145,17.410258376959426,0.930790724991625,0.1345964566929134,0.9255499153976311,0.26131889763779526,0.8992379339542761,0.4493110236220472,0.77307366638442,0.6419783464566929,0.4418289585097375,435973.1234000009,0.19503335929826937,203692.39439999993,0.5876408219337463,0.4493110236220472
catboost,1532.0,8.58,0.5291029732951636,0.034409184813899145,15.37679477606919,0.8939675785965466,0.13336614173228348,0.9170896785109983,0.2561515748031496,0.8814563928873835,0.41437007874015747,0.7129551227773073,0.5708661417322834,0.392887383573243,411986.32050000003,0.17009855386595318,185171.82059999963,0.3078194759408919,0.41437007874015747
logistic_regression,,1.27,0.18308932087913998,0.034409184813899145,5.320943285037762,0.8209480749866677,0.0,0.0,0.003937007874015748,0.013547840812870448,0.19389763779527558,0.3336155800169348,0.39640748031496065,0.27281964436917866,334427.2970999999,0.21675923730822638,68540.07720000006,0.6037034197287836,0.19389763779527558
dummy,,0.06,0.034409184813899145,0.034409184813899145,1.0,0.5,0.009350393700787402,0.06429780033840947,0.016486220472440943,0.056731583403895,0.026820866141732284,0.04614733276883996,0.0654527559055118,0.04504657070279424,54491.40240000165,0.9985860398956887,6334.043999999994,0.03513521522674162,0.026820866141732284
